SID,SSID,SampleYear,Waterbody,SubSampleName,SubSampleDate,HoursEffort,Species,Len,Wt,Number,Age
2511,12290,2007,Buffalo River,2,10/02/2007,0.563888889,,,,,
2511,12291,2007,Buffalo River,3,10/02/2007,0.285833333,,,,,
2512,12292,2007,Buffalo River,1,10/02/2007,0.243611111,,,,,
2513,12293,2007,Buffalo River,1,10/03/2007,0.845833333,,,,,
2514,12294,2007,Buffalo River,1,10/03/2007,0.423055556,,,,,
2514,12295,2007,Buffalo River,2,10/03/2007,0.443888889,,,,,
2515,12296,2007,Buffalo River,1,10/04/2007,0.540833333,,,,,
2515,12297,2007,Buffalo River,2,10/04/2007,0.461944444,,,,,
2520,12306,2008,Buffalo River,1,04/21/2008,0.638611111,,,,,
2520,12307,2008,Buffalo River,2,04/21/2008,0.2425,,,,,
2520,12308,2008,Buffalo River,3,04/21/2008,0.363611111,,,,,
2520,12309,2008,Buffalo River,4,04/21/2008,0.233333333,,,,,
2520,12310,2008,Buffalo River,5,04/21/2008,0.227777778,,,,,
2521,12311,2008,Buffalo River,1,04/22/2008,,,,,,
2521,12312,2008,Buffalo River,2,04/22/2008,0.277777778,,,,,
2521,12313,2008,Buffalo River,3,04/22/2008,0.4325,,,,,
2522,12314,2008,Buffalo River,1,04/28/2008,0.644722222,,,,,
2522,12315,2008,Buffalo River,2,04/28/2008,0.212777778,,,,,
2522,12316,2008,Buffalo River,3,04/28/2008,0.202777778,,,,,
2523,12317,2008,Buffalo River,1,04/30/2008,0.369722222,,,,,
2523,12318,2008,Buffalo River,2,04/30/2008,0.309166667,,,,,
2523,12319,2008,Buffalo River,3,04/30/2008,0.247777778,,,,,
2523,12320,2008,Buffalo River,4,04/30/2008,0.269722222,,,,,
2524,12321,2008,Buffalo River,1,05/01/2008,0.565833333,,,,,
2524,12322,2008,Buffalo River,2,05/01/2008,0.337777778,,,,,
2524,12323,2008,Buffalo River,3,05/01/2008,0.194444444,,,,,
2525,12324,2008,Buffalo River,1,05/05/2008,0.5575,,,,,
2525,12325,2008,Buffalo River,2,05/05/2008,0.096388889,,,,,
2525,12326,2008,Buffalo River,3,05/05/2008,0.623888889,,,,,
2525,12327,2008,Buffalo River,4,05/05/2008,0.213611111,,,,,
2525,12328,2008,Buffalo River,5,05/05/2008,0.5575,,,,,
2525,12329,2008,Buffalo River,6,05/05/2008,0.072777778,,,,,
2526,12330,2008,Buffalo River,1,06/30/2008,0.963888889,,,,,
2526,12331,2008,Buffalo River,2,06/30/2008,0.720833333,,,,,
2526,12332,2008,Buffalo River,3,06/30/2008,0.508888889,,,,,
2527,12333,2008,Buffalo River,1,07/02/2008,0.331944444,,,,,
2527,12334,2008,Buffalo River,2,07/02/2008,1.028333333,,,,,
2527,12335,2008,Buffalo River,3,07/02/2008,0.135833333,,,,,
2527,12336,2008,Buffalo River,4,07/02/2008,0.422222222,,,,,
2527,12337,2008,Buffalo River,5,07/02/2008,0.162777778,,,,,
2527,12338,2008,Buffalo River,6,07/02/2008,0.159722222,,,,,
2527,12339,2008,Buffalo River,7,07/02/2008,0.511666667,,,,,
2528,12340,2008,Buffalo River,1,07/30/2008,0.920833333,,,,,
2528,12341,2008,Buffalo River,2,07/30/2008,0.986388889,,,,,
2528,12342,2008,Buffalo River,3,07/30/2008,0.130277778,,,,,
2528,12343,2008,Buffalo River,4,07/30/2008,0.733055556,,,,,
2528,12344,2008,Buffalo River,5,07/30/2008,0.083611111,,,,,
2529,12345,2008,Buffalo River,1,10/23/2008,0.853888889,,,,,
2529,12346,2008,Buffalo River,2,10/23/2008,0.482222222,,,,,
2529,12347,2008,Buffalo River,3,10/23/2008,0.686111111,,,,,
2530,12348,2008,Buffalo River,1,10/30/2008,0.542222222,,,,,
2530,12349,2008,Buffalo River,2,10/30/2008,0.563888889,,,,,
2530,12350,2008,Buffalo River,3,10/30/2008,0.119444444,,,,,
2530,12351,2008,Buffalo River,4,10/30/2008,0.375555556,,,,,
2531,12352,2009,Buffalo River,1,06/03/2009,0.986111111,,,,,
2531,12353,2009,Buffalo River,2,06/03/2009,0.604722222,,,,,
2531,12354,2009,Buffalo River,3,06/03/2009,0.472222222,,,,,
2532,12355,2009,Buffalo River,1,06/11/2009,0.703333333,,,,,
2532,12356,2009,Buffalo River,2,06/11/2009,0.790833333,,,,,
2532,12357,2009,Buffalo River,3,06/11/2009,0.958611111,,,,,
2533,12358,2009,Buffalo River,1,07/01/2009,1.652777778,,,,,
2533,12359,2009,Buffalo River,2,07/01/2009,1.011944444,,,,,
2533,12360,2009,Buffalo River,3,07/01/2009,1.445833333,,,,,
2534,12361,2009,Buffalo River,1,07/09/2009,1.105833333,,,,,
2534,12362,2009,Buffalo River,2,07/09/2009,1.386111111,,,,,
2534,12363,2009,Buffalo River,3,07/09/2009,0.813333333,,,,,
2535,12364,2009,Buffalo River,1,07/21/2009,0.561111111,,,,,
2535,12365,2009,Buffalo River,2,07/21/2009,0.798888889,,,,,
2535,12366,2009,Buffalo River,3,07/21/2009,0.046388889,,,,,
2535,12367,2009,Buffalo River,4,07/21/2009,0.513611111,,,,,
2536,12368,2009,Buffalo River,1,07/27/2009,0.665,,,,,
2536,12369,2009,Buffalo River,2,07/27/2009,0.823611111,,,,,
2536,12370,2009,Buffalo River,3,07/27/2009,0.589444444,,,,,
2537,12371,2009,Buffalo River,1,10/06/2009,1.046666667,,,,,
2537,12372,2009,Buffalo River,2,10/06/2009,1.561111111,,,,,
2537,12373,2009,Buffalo River,3,10/06/2009,0.629166667,,,,,
2538,12374,2009,Buffalo River,1,10/20/2009,0.492222222,,,,,
2538,12375,2009,Buffalo River,2,10/20/2009,0.271388889,,,,,
2538,12376,2009,Buffalo River,3,10/20/2009,0.239166667,,,,,
2538,12377,2009,Buffalo River,4,10/20/2009,0.409166667,,,,,
2538,12378,2009,Buffalo River,5,10/20/2009,0.416666667,,,,,
2538,12379,2009,Buffalo River,6,10/20/2009,0.5725,,,,,
2539,12380,2009,Buffalo River,1,10/21/2009,1.178333333,,,,,
2539,12381,2009,Buffalo River,2,10/21/2009,0.764722222,,,,,
2539,12382,2009,Buffalo River,3,10/21/2009,0.469166667,,,,,
2540,12383,2010,Buffalo River,1,04/13/2010,0.436666667,,,,,
2540,12384,2010,Buffalo River,2,04/13/2010,0.701388889,,,,,
2540,12385,2010,Buffalo River,3,04/13/2010,0.2225,,,,,
2540,12386,2010,Buffalo River,4,04/13/2010,1.042777778,,,,,
2540,12387,2010,Buffalo River,5,04/13/2010,0.255833333,,,,,
2541,12388,2010,Buffalo River,1,04/15/2010,0.33,,,,,
2541,12389,2010,Buffalo River,2,04/15/2010,0.35,,,,,
2541,12390,2010,Buffalo River,3,04/15/2010,0.645833333,,,,,
2541,12391,2010,Buffalo River,4,04/15/2010,0.698888889,,,,,
2541,12392,2010,Buffalo River,5,04/15/2010,0.83,,,,,
2541,12393,2010,Buffalo River,6,04/15/2010,0.833333333,,,,,
2542,12394,2010,Buffalo River,1,04/19/2010,0.555555556,,,,,
2542,12395,2010,Buffalo River,2,04/19/2010,0.4675,,,,,
2542,12396,2010,Buffalo River,3,04/19/2010,0.314444444,,,,,
2542,12397,2010,Buffalo River,4,04/19/2010,0.656111111,,,,,
2542,12398,2010,Buffalo River,5,04/19/2010,0.378888889,,,,,
2542,12399,2010,Buffalo River,6,04/19/2010,0.464444444,,,,,
2543,12400,2010,Buffalo River,1,05/03/2010,0.723055556,,,,,
2543,12401,2010,Buffalo River,2,05/03/2010,0.398888889,,,,,
2543,12402,2010,Buffalo River,3,05/03/2010,0.455555556,,,,,
2543,12403,2010,Buffalo River,4,05/03/2010,0.478611111,,,,,
2544,12404,2010,Buffalo River,1,07/27/2010,0.133888889,,,,,
2544,12405,2010,Buffalo River,2,07/27/2010,0.616666667,,,,,
2544,12406,2010,Buffalo River,3,07/27/2010,0.620277778,,,,,
2545,12407,2010,Buffalo River,1,10/12/2010,0.258333333,,,,,
2545,12408,2010,Buffalo River,2,10/12/2010,0.477777778,,,,,
2545,12409,2010,Buffalo River,3,10/12/2010,0.462777778,,,,,
2545,12410,2010,Buffalo River,4,10/12/2010,0.512222222,,,,,
2545,12411,2010,Buffalo River,5,10/12/2010,0.4525,,,,,
2546,12412,2010,Buffalo River,1,10/13/2010,0.566388889,,,,,
2546,12413,2010,Buffalo River,2,10/13/2010,0.2325,,,,,
2546,12414,2010,Buffalo River,3,10/13/2010,0.530833333,,,,,
2546,12415,2010,Buffalo River,4,10/13/2010,0.315,,,,,
2546,12416,2010,Buffalo River,5,10/13/2010,0.301944444,,,,,
2547,12417,2010,Buffalo River,1,10/14/2010,0.643333333,,,,,
2547,12418,2010,Buffalo River,2,10/14/2010,0.598611111,,,,,
2547,12419,2010,Buffalo River,3,10/14/2010,0.652777778,,,,,
2553,12471,2011,Buffalo River,1,06/23/2011,0.761944444,,,,,
2553,12472,2011,Buffalo River,2,06/23/2011,0.773611111,,,,,
2554,12473,2011,Buffalo River,1,06/27/2011,0.5225,,,,,
2554,12474,2011,Buffalo River,2,06/27/2011,0.415555556,,,,,
2554,12475,2011,Buffalo River,3,06/27/2011,0.591944444,,,,,
2554,12476,2011,Buffalo River,4,06/27/2011,0.438333333,,,,,
2554,12477,2011,Buffalo River,5,06/27/2011,0.659166667,,,,,
2555,12478,2011,Buffalo River,1,06/28/2011,0.432777778,,,,,
2555,12479,2011,Buffalo River,2,06/28/2011,0.35,,,,,
2555,12480,2011,Buffalo River,3,06/28/2011,0.215,,,,,
2555,12481,2011,Buffalo River,4,06/28/2011,0.500277778,,,,,
2555,12482,2011,Buffalo River,5,06/28/2011,0.3275,,,,,
2555,12483,2011,Buffalo River,6,06/28/2011,0.230277778,,,,,
2556,12484,2011,Buffalo River,1,06/29/2011,0.643055556,,,,,
2556,12485,2011,Buffalo River,2,06/29/2011,0.4475,,,,,
2556,12486,2011,Buffalo River,3,06/29/2011,0.341388889,,,,,
2556,12487,2011,Buffalo River,4,06/29/2011,0.606388889,,,,,
2557,12488,2011,Buffalo River,1,07/14/2011,0.414444444,,,,,
2557,12489,2011,Buffalo River,2,07/14/2011,0.353888889,,,,,
2557,12490,2011,Buffalo River,3,07/14/2011,0.373055556,,,,,
2557,12491,2011,Buffalo River,4,07/14/2011,0.318333333,,,,,
2558,12492,2011,Buffalo River,1,09/29/2011,0.171111111,,,,,
2558,12493,2011,Buffalo River,2,09/29/2011,0.230833333,,,,,
2558,12494,2011,Buffalo River,3,09/29/2011,0.233611111,,,,,
2558,12495,2011,Buffalo River,4,09/29/2011,0.234166667,,,,,
2558,12496,2011,Buffalo River,5,09/29/2011,0.249722222,,,,,
2558,12497,2011,Buffalo River,6,09/29/2011,0.200555556,,,,,
2558,12498,2011,Buffalo River,7,09/29/2011,0.097222222,,,,,
2559,12499,2011,Buffalo River,1,10/04/2011,0.280555556,,,,,
2559,12500,2011,Buffalo River,2,10/04/2011,0.279166667,,,,,
2559,12501,2011,Buffalo River,3,10/04/2011,0.249444444,,,,,
2559,12502,2011,Buffalo River,4,10/04/2011,0.340277778,,,,,
2559,12503,2011,Buffalo River,5,10/04/2011,0.493611111,,,,,
2559,12504,2011,Buffalo River,6,10/04/2011,0.283055556,,,,,
2559,12505,2011,Buffalo River,7,10/04/2011,0.285555556,,,,,
2560,12506,2011,Buffalo River,1,10/05/2011,0.334166667,,,,,
2560,12507,2011,Buffalo River,2,10/05/2011,0.278611111,,,,,
2560,12508,2011,Buffalo River,3,10/05/2011,0.307777778,,,,,
2560,12509,2011,Buffalo River,4,10/05/2011,0.2925,,,,,
2560,12510,2011,Buffalo River,5,10/05/2011,0.335277778,,,,,
2560,12511,2011,Buffalo River,6,10/05/2011,0.271388889,,,,,
2560,12512,2011,Buffalo River,7,10/05/2011,0.259166667,,,,,
2561,12513,2011,Buffalo River,1,10/06/2011,0.303888889,,,,,
2561,12514,2011,Buffalo River,2,10/06/2011,0.355555556,,,,,
2561,12515,2011,Buffalo River,3,10/06/2011,0.283055556,,,,,
2561,12516,2011,Buffalo River,4,10/06/2011,0.428055556,,,,,
2561,12517,2011,Buffalo River,5,10/06/2011,0.375,,,,,
2562,12518,2011,Buffalo River,1,10/11/2011,0.246388889,,,,,
2562,12519,2011,Buffalo River,2,10/11/2011,0.221388889,,,,,
2562,12520,2011,Buffalo River,3,10/11/2011,0.228333333,,,,,
2562,12521,2011,Buffalo River,4,10/11/2011,0.172777778,,,,,
2562,12522,2011,Buffalo River,5,10/11/2011,0.168055556,,,,,
2562,12523,2011,Buffalo River,6,10/11/2011,0.156944444,,,,,
2563,12524,2011,Buffalo River,1,10/12/2011,0.125833333,,,,,
2564,12525,2011,Buffalo River,1,10/13/2011,0.228611111,,,,,
2564,12526,2011,Buffalo River,2,10/13/2011,0.243333333,,,,,
2564,12527,2011,Buffalo River,3,10/13/2011,0.266666667,,,,,
2564,12528,2011,Buffalo River,4,10/13/2011,0.240833333,,,,,
2564,12529,2011,Buffalo River,5,10/13/2011,0.185555556,,,,,
2564,12530,2011,Buffalo River,6,10/13/2011,0.255833333,,,,,
2565,12531,2012,Buffalo River,1,05/15/2012,0.166944444,,,,,
2565,12532,2012,Buffalo River,2,05/15/2012,0.167222222,,,,,
2565,12533,2012,Buffalo River,3,05/15/2012,0.166666667,,,,,
2565,12534,2012,Buffalo River,4,05/15/2012,0.173611111,,,,,
2565,12535,2012,Buffalo River,5,05/15/2012,0.166944444,,,,,
2565,12536,2012,Buffalo River,6,05/15/2012,0.167222222,,,,,
2565,12537,2012,Buffalo River,7,05/15/2012,0.167222222,,,,,
2565,12538,2012,Buffalo River,8,05/15/2012,0.057222222,,,,,
2566,12539,2012,Buffalo River,1,05/16/2012,0.166944444,,,,,
2566,12540,2012,Buffalo River,2,05/16/2012,0.195833333,,,,,
2566,12541,2012,Buffalo River,3,05/16/2012,0.150277778,,,,,
2567,12542,2012,Buffalo River,1,10/02/2012,0.328888889,,,,,
2567,12543,2012,Buffalo River,2,10/02/2012,0.185,,,,,
2567,12544,2012,Buffalo River,3,10/02/2012,0.174444444,,,,,
2567,12545,2012,Buffalo River,4,10/02/2012,0.3375,,,,,
2567,12546,2012,Buffalo River,5,10/02/2012,0.245833333,,,,,
2567,12547,2012,Buffalo River,6,10/02/2012,0.243055556,,,,,
2568,12548,2012,Buffalo River,1,10/04/2012,0.178611111,,,,,
2568,12549,2012,Buffalo River,2,10/04/2012,0.183055556,,,,,
2568,12550,2012,Buffalo River,3,10/04/2012,0.194166667,,,,,
2568,12551,2012,Buffalo River,4,10/04/2012,0.219444444,,,,,
2568,12552,2012,Buffalo River,5,10/04/2012,0.198611111,,,,,
2568,12553,2012,Buffalo River,6,10/04/2012,0.22,,,,,
2569,12554,2012,Buffalo River,1,10/09/2012,0.366388889,,,,,
2569,12555,2012,Buffalo River,2,10/09/2012,0.231944444,,,,,
2569,12556,2012,Buffalo River,3,10/09/2012,0.188055556,,,,,
2569,12557,2012,Buffalo River,4,10/09/2012,0.226111111,,,,,
2569,12558,2012,Buffalo River,5,10/09/2012,0.255277778,,,,,
2569,12559,2012,Buffalo River,6,10/09/2012,0.23,,,,,
2570,12560,2012,Buffalo River,1,10/10/2012,0.256666667,,,,,
2570,12561,2012,Buffalo River,2,10/10/2012,0.348055556,,,,,
2570,12562,2012,Buffalo River,3,10/10/2012,0.415833333,,,,,
2570,12563,2012,Buffalo River,4,10/10/2012,0.213055556,,,,,
2570,12564,2012,Buffalo River,5,10/10/2012,0.305277778,,,,,
2570,12565,2012,Buffalo River,6,10/10/2012,0.3875,,,,,
2571,12566,2012,Buffalo River,1,10/16/2012,0.507777778,,,,,
2571,12567,2012,Buffalo River,2,10/16/2012,0.288611111,,,,,
2571,12568,2012,Buffalo River,3,10/16/2012,0.375,,,,,
2571,12569,2012,Buffalo River,4,10/16/2012,0.268333333,,,,,
2571,12570,2012,Buffalo River,5,10/16/2012,0.365833333,,,,,
2572,12571,2012,Buffalo River,1,10/17/2012,0.291111111,,,,,
2572,12572,2012,Buffalo River,2,10/17/2012,0.337222222,,,,,
2572,12573,2012,Buffalo River,3,10/17/2012,0.344722222,,,,,
2572,12574,2012,Buffalo River,4,10/17/2012,0.338333333,,,,,
2573,12575,2012,Buffalo River,1,10/23/2012,0.239166667,,,,,
2573,12576,2012,Buffalo River,2,10/23/2012,0.203888889,,,,,
2573,12577,2012,Buffalo River,3,10/23/2012,0.255555556,,,,,
2573,12578,2012,Buffalo River,4,10/23/2012,0.214166667,,,,,
2573,12579,2012,Buffalo River,5,10/23/2012,0.214166667,,,,,
2573,12580,2012,Buffalo River,6,10/23/2012,0.261944444,,,,,
2590,12621,1992,Buffalo River,1,10/05/1992,2.200555556,,,,,
2590,12622,1992,Buffalo River,2,10/05/1992,1.656666667,,,,,
2591,12623,1992,Buffalo River,1,10/05/1992,2.294444444,,,,,
2591,12624,1992,Buffalo River,2,10/05/1992,1.518333333,,,,,
2592,12625,1992,Buffalo River,1,10/06/1992,1.727777778,,,,,
2592,12626,1992,Buffalo River,2,10/06/1992,2.284722222,,,,,
2593,12627,1993,Buffalo River,1,10/06/1993,1.2225,,,,,
2593,12628,1993,Buffalo River,2,10/06/1993,1.018888889,,,,,
2594,12629,1993,Buffalo River,1,10/07/1993,1.207777778,,,,,
2594,12630,1993,Buffalo River,2,10/07/1993,0.970277778,,,,,
2595,12631,2001,Buffalo River,1,10/02/2001,1.333888889,,,,,
2595,12632,2001,Buffalo River,2,10/02/2001,0.971666667,,,,,
2596,12633,2001,Buffalo River,1,10/03/2001,0.456111111,,,,,
2596,12634,2001,Buffalo River,2,10/03/2001,0.365277778,,,,,
2596,12635,2001,Buffalo River,3,10/03/2001,0.179166667,,,,,
2596,12636,2001,Buffalo River,4,10/03/2001,0.151111111,,,,,
2597,12637,2001,Buffalo River,1,10/08/2001,0.799722222,,,,,
2597,12638,2001,Buffalo River,2,10/08/2001,0.184722222,,,,,
2598,12639,2001,Buffalo River,1,10/09/2001,0.312222222,,,,,
2598,12640,2001,Buffalo River,2,10/09/2001,0.842777778,,,,,
2599,12641,2003,Buffalo River,1,10/28/2003,0.264166667,,,,,
2599,12642,2003,Buffalo River,2,10/28/2003,0.416666667,,,,,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,112,12,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,202,94,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,227,138,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,220,122,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,198,96,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,302,346,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,278,244,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,101,11,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,217,124,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,301,335,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,122,21,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,338,458,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,257,199,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,107,16,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,205,106,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,186,72,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,205,108,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,278,238,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,208,93,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,326,478,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,235,156,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,264,225,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,223,137,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,132,30,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,102,14,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,243,155,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,240,162,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,225,132,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,247,107,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,150,47,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,187,69,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,466,1068,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,317,357,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,344,519,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,190,88,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,362,594,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,117,16,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,155,48,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,330,430,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Smallmouth Bass,202,98,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Flathead Catfish,376,529,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Flathead Catfish,305,285,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Flathead Catfish,286,248,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Flathead Catfish,310,278,1,
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,Flathead Catfish,142,38,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,261,199,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,324,434,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,261,225,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,87,8,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,147,35,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,172,59,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,339,479,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,198,91,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,226,147,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,147,39,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,363,630,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,190,78,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,200,95,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,238,161,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,214,127,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,197,104,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,214,115,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,198,91,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,208,108,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,168,56,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,200,93,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,234,141,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,197,93,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,187,76,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,352,517,1,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,Smallmouth Bass,234,154,1,
